Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
single-watch-jewelry-box-1-slot,Single Watch Jewelry Box – 1-Slot Watch Case,"<p><strong>Single Watch Jewelry Box – 1-Slot Watch Case</strong></p><p>The perfect companion for your prized timepiece. Crafted with a soft velvet interior and sturdy exterior, this elegant 1-slot watch case keeps your watch scratch-free and beautifully displayed. Ideal for travel, storage, or as a refined gift.</p><p>Available in <strong>Brown</strong> and <strong>Black</strong>.</p><hr/><p><strong>Caixa para Relógio – 1 Compartimento</strong></p><p>A companheira perfeita para o seu relógio favorito. Com interior de veludo macio e exterior resistente, mantém seu relógio protegido e em destaque. Ideal para viagens, armazenamento ou como presente sofisticado.</p><p>Disponível em <strong>Marrom</strong> e <strong>Preto</strong>.</p>",Relic & Co,,Watch Case,"watch case, 1 slot, jewelry box, storage, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page1_img1.jpg,1,Single Watch Jewelry Box – 1-Slot Watch Case – Brown,active
single-watch-jewelry-box-1-slot,,,Relic & Co,,,,TRUE,Color,Black,,0,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page2_img1.jpg,2,Single Watch Jewelry Box – 1-Slot Watch Case – Black,active
single-watch-jewelry-box-2-slot,Single Watch Jewelry Box – 2-Slot Watch Case,"<p><strong>Single Watch Jewelry Box – 2-Slot Watch Case</strong></p><p>Double the protection, double the style. The 2-slot watch case features individual cushioned velvet compartments, keeping each watch scratch-free and perfectly displayed. Great for collectors who own a favourite pair.</p><p>Available in <strong>Brown</strong> and <strong>Black</strong>.</p><hr/><p><strong>Caixa para Relógios – 2 Compartimentos</strong></p><p>Dupla proteção com muito estilo. A case com 2 compartimentos possui almofadas individuais revestidas de veludo, mantendo cada relógio livre de arranhões e sempre em destaque. Ideal para colecionadores que amam um bom par.</p><p>Disponível em <strong>Marrom</strong> e <strong>Preto</strong>.</p>",Relic & Co,,Watch Case,"watch case, 2 slot, jewelry box, storage, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,39.99,54.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page3_img1.jpg,1,Single Watch Jewelry Box – 2-Slot Watch Case – Brown,active
single-watch-jewelry-box-2-slot,,,Relic & Co,,,,TRUE,Color,Black,,0,shopify,100,deny,manual,39.99,54.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page4_img1.jpg,2,Single Watch Jewelry Box – 2-Slot Watch Case – Black,active
single-watch-jewelry-box-3-slot,Single Watch Jewelry Box – 3-Slot Watch Case,"<p><strong>Single Watch Jewelry Box – 3-Slot Watch Case</strong></p><p>For the growing collector. Three padded velvet compartments protect and showcase your watches beautifully. Sleek, compact, and elegant — the ideal storage solution for any watch enthusiast.</p><p>Available in <strong>Brown</strong> and <strong>Black</strong>.</p><hr/><p><strong>Caixa para Relógios – 3 Compartimentos</strong></p><p>Para o colecionador em ascensão. Três compartimentos acolchoados revestidos de veludo protegem e exibem seus relógios com beleza. Elegante, compacta e prática — a solução ideal.</p><p>Disponível em <strong>Marrom</strong> e <strong>Preto</strong>.</p>",Relic & Co,,Watch Case,"watch case, 3 slot, jewelry box, storage, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,49.99,69.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page5_img1.jpg,1,Single Watch Jewelry Box – 3-Slot Watch Case – Brown,active
single-watch-jewelry-box-3-slot,,,Relic & Co,,,,TRUE,Color,Black,,0,shopify,100,deny,manual,49.99,69.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page6_img1.jpg,2,Single Watch Jewelry Box – 3-Slot Watch Case – Black,active
single-watch-jewelry-box-6-slot,Single Watch Jewelry Box – 6-Slot Watch Case,<p><strong>Single Watch Jewelry Box – 6-Slot Watch Case</strong></p><p>Made for the serious collector. Six individual cushioned compartments lined with soft velvet organize and protect your timepieces beautifully. Lockable and travel-ready — your collection in one elegant box.</p><hr/><p><strong>Caixa para Relógios – 6 Compartimentos</strong></p><p>Feita para o colecionador dedicado. Seis compartimentos acolchoados com veludo macio organizam e protegem seus relógios com elegância. Com fechamento seguro e pronta para viagem.</p>,Relic & Co,,Watch Case,"watch case, 6 slot, jewelry box, storage, collector, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,69.99,94.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page7_img1.jpg,1,Single Watch Jewelry Box – 6-Slot Watch Case – Brown,active
single-watch-jewelry-box-12-slot,Single Watch Jewelry Box – 12-Slot Watch Case,"<p><strong>Single Watch Jewelry Box – 12-Slot Watch Case</strong></p><p>The ultimate watch storage solution. A luxury display box housing up to 12 timepieces in individual velvet-lined cushioned slots. Sophisticated, spacious, and built for the serious enthusiast.</p><hr/><p><strong>Caixa para Relógios – 12 Compartimentos</strong></p><p>A solução definitiva para guardar sua coleção. Uma caixa de display luxuosa que acomoda até 12 relógios em slots individuais com veludo. Sofisticada, espaçosa e feita para o entusiasta exigente.</p>",Relic & Co,,Watch Case,"watch case, 12 slot, jewelry box, storage, collector, luxury, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,89.99,119.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page8_img1.jpg,1,Single Watch Jewelry Box – 12-Slot Watch Case – Brown,active
new-port-wallet,New Port – Wallet,"<p><strong>New Port – Wallet</strong></p><p>Timeless style meets everyday function. Crafted from genuine leather with a slim bifold design, the New Port Wallet keeps your cards, cash, and essentials organized with sophisticated simplicity.</p><p>Available in <strong>Brown</strong> and <strong>Black</strong>.</p><hr/><p><strong>New Port – Carteira</strong></p><p>Estilo atemporal com funcionalidade do dia a dia. Feita em couro genuíno com design slim bifold, mantém seus cartões, dinheiro e essenciais organizados com simplicidade sofisticada.</p><p>Disponível em <strong>Marrom</strong> e <strong>Preto</strong>.</p>",Relic & Co,,Wallet,"wallet, leather, bifold, new port, slim, gift",TRUE,Color,Brown,,0,shopify,100,deny,manual,34.99,54.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page9_img1.jpg,1,New Port – Wallet – Brown,active
new-port-wallet,,,Relic & Co,,,,TRUE,Color,Black,,0,shopify,100,deny,manual,34.99,54.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page10_img1.jpg,2,New Port – Wallet – Black,active
calvin-klein-wallet,Calvin Klein – Wallet,"<p><strong>Calvin Klein – Wallet</strong></p><p>Minimalist luxury at its finest. The Calvin Klein Wallet features premium leather, a slim profile, and clean lines that reflect the brand's iconic aesthetic. Spacious for daily essentials, elegant for any occasion.</p><p>Available in <strong>Black</strong> and <strong>Coffee</strong>.</p><hr/><p><strong>Calvin Klein – Carteira</strong></p><p>Luxo minimalista em seu melhor. Feita em couro premium com perfil slim e linhas limpas que refletem a estética icônica Calvin Klein. Espaçosa para o essencial, elegante para qualquer ocasião.</p><p>Disponível em <strong>Preto</strong> e <strong>Café</strong>.</p>",Relic & Co,,Wallet,"wallet, leather, calvin klein, slim, luxury, designer, gift",TRUE,Color,Black,,0,shopify,100,deny,manual,79.99,109.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page11_img1.jpg,1,Calvin Klein – Wallet – Black,active
calvin-klein-wallet,,,Relic & Co,,,,TRUE,Color,Coffee,,0,shopify,100,deny,manual,79.99,109.99,TRUE,TRUE,https://raw.githubusercontent.com/SamirLacerda/relic-store-assets/main/products/page12_img1.jpg,2,Calvin Klein – Wallet – Coffee,active
